EssentialPIM 6.56  2015/11/19 1:08
09:29:00.294  5152  gbak:readied database C:\Users\a.kaida.junichi\AppData\Roaming\EssentialPIM\test.epim for backup 
09:29:00.294  5152  gbak:creating file C:\Users\a.kaida.junichi\AppData\Roaming\EssentialPIM\test.backup_20160819_0929.epim 
09:29:00.294  5152  gbak:starting transaction 
09:29:00.310  5152  gbak:database C:\Users\a.kaida.junichi\AppData\Roaming\EssentialPIM\test.epim has a page size of 4096 bytes. 
09:29:00.310  5152  gbak:writing domains 
09:29:00.310  5152  gbak:    writing domain DIDITEM 
09:29:00.310  5152  gbak:    writing domain DIDPARENT 
09:29:00.310  5152  gbak:    writing domain DSTATUS 
09:29:00.310  5152  gbak:    writing domain DIDUSER 
09:29:00.310  5152  gbak:    writing domain DACCESS 
09:29:00.310  5152  gbak:    writing domain RDB$1 
09:29:00.310  5152  gbak:    writing domain RDB$2 
09:29:00.310  5152  gbak:    writing domain RDB$3 
09:29:00.310  5152  gbak:    writing domain RDB$4 
09:29:00.310  5152  gbak:    writing domain RDB$5 
09:29:00.310  5152  gbak:    writing domain RDB$6 
09:29:00.310  5152  gbak:    writing domain RDB$7 
09:29:00.310  5152  gbak:    writing domain RDB$8 
09:29:00.310  5152  gbak:    writing domain RDB$9 
09:29:00.310  5152  gbak:    writing domain RDB$10 
09:29:00.310  5152  gbak:    writing domain RDB$11 
09:29:00.310  5152  gbak:    writing domain RDB$12 
09:29:00.310  5152  gbak:    writing domain RDB$13 
09:29:00.310  5152  gbak:    writing domain RDB$14 
09:29:00.310  5152  gbak:    writing domain RDB$15 
09:29:00.310  5152  gbak:    writing domain RDB$16 
09:29:00.310  5152  gbak:    writing domain RDB$17 
09:29:00.310  5152  gbak:    writing domain RDB$18 
09:29:00.310  5152  gbak:    writing domain RDB$19 
09:29:00.310  5152  gbak:    writing domain RDB$20 
09:29:00.310  5152  gbak:    writing domain RDB$21 
09:29:00.310  5152  gbak:    writing domain RDB$22 
09:29:00.310  5152  gbak:    writing domain RDB$23 
09:29:00.326  5152  gbak:    writing domain RDB$24 
09:29:00.341  5152  gbak:    writing domain RDB$25 
09:29:00.341  5152  gbak:    writing domain RDB$26 
09:29:00.341  5152  gbak:    writing domain RDB$27 
09:29:00.341  5152  gbak:    writing domain RDB$28 
09:29:00.341  5152  gbak:    writing domain RDB$29 
09:29:00.341  5152  gbak:    writing domain RDB$30 
09:29:00.341  5152  gbak:    writing domain RDB$31 
09:29:00.341  5152  gbak:    writing domain RDB$32 
09:29:00.341  5152  gbak:    writing domain RDB$33 
09:29:00.341  5152  gbak:    writing domain RDB$34 
09:29:00.341  5152  gbak:    writing domain RDB$35 
09:29:00.341  5152  gbak:    writing domain RDB$36 
09:29:00.341  5152  gbak:    writing domain RDB$37 
09:29:00.341  5152  gbak:    writing domain RDB$38 
09:29:00.341  5152  gbak:    writing domain RDB$39 
09:29:00.341  5152  gbak:    writing domain RDB$40 
09:29:00.341  5152  gbak:    writing domain RDB$41 
09:29:00.341  5152  gbak:    writing domain RDB$42 
09:29:00.341  5152  gbak:    writing domain RDB$43 
09:29:00.341  5152  gbak:    writing domain RDB$44 
09:29:00.341  5152  gbak:    writing domain RDB$45 
09:29:00.341  5152  gbak:    writing domain RDB$46 
09:29:00.341  5152  gbak:    writing domain RDB$47 
09:29:00.341  5152  gbak:    writing domain RDB$48 
09:29:00.341  5152  gbak:    writing domain RDB$49 
09:29:00.341  5152  gbak:    writing domain RDB$50 
09:29:00.341  5152  gbak:    writing domain RDB$51 
09:29:00.341  5152  gbak:    writing domain RDB$52 
09:29:00.341  5152  gbak:    writing domain RDB$53 
09:29:00.341  5152  gbak:    writing domain RDB$54 
09:29:00.341  5152  gbak:    writing domain RDB$55 
09:29:00.341  5152  gbak:    writing domain RDB$56 
09:29:00.341  5152  gbak:    writing domain RDB$57 
09:29:00.357  5152  gbak:    writing domain RDB$58 
09:29:00.357  5152  gbak:    writing domain RDB$59 
09:29:00.357  5152  gbak:    writing domain RDB$60 
09:29:00.357  5152  gbak:    writing domain RDB$61 
09:29:00.357  5152  gbak:    writing domain RDB$62 
09:29:00.357  5152  gbak:    writing domain RDB$63 
09:29:00.357  5152  gbak:    writing domain RDB$64 
09:29:00.357  5152  gbak:    writing domain RDB$65 
09:29:00.357  5152  gbak:    writing domain RDB$66 
09:29:00.357  5152  gbak:    writing domain RDB$67 
09:29:00.357  5152  gbak:    writing domain RDB$68 
09:29:00.357  5152  gbak:    writing domain RDB$69 
09:29:00.357  5152  gbak:    writing domain RDB$70 
09:29:00.357  5152  gbak:    writing domain RDB$71 
09:29:00.357  5152  gbak:    writing domain RDB$72 
09:29:00.357  5152  gbak:    writing domain RDB$73 
09:29:00.357  5152  gbak:    writing domain RDB$74 
09:29:00.357  5152  gbak:    writing domain RDB$75 
09:29:00.357  5152  gbak:    writing domain RDB$76 
09:29:00.372  5152  gbak:    writing domain RDB$77 
09:29:00.372  5152  gbak:    writing domain RDB$78 
09:29:00.372  5152  gbak:    writing domain RDB$79 
09:29:00.372  5152  gbak:    writing domain RDB$80 
09:29:00.372  5152  gbak:    writing domain RDB$81 
09:29:00.372  5152  gbak:    writing domain RDB$82 
09:29:00.372  5152  gbak:    writing domain RDB$83 
09:29:00.372  5152  gbak:    writing domain RDB$84 
09:29:00.372  5152  gbak:    writing domain RDB$85 
09:29:00.372  5152  gbak:    writing domain RDB$86 
09:29:00.372  5152  gbak:    writing domain RDB$87 
09:29:00.372  5152  gbak:    writing domain RDB$88 
09:29:00.372  5152  gbak:    writing domain RDB$89 
09:29:00.372  5152  gbak:    writing domain RDB$90 
